,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
2,GBM_2_AutoML_20190426_160027,11.238139654017468,3.3523334640243454,11.238139654017468,2.0329835778998424,0.042951863199595534
3,GBM_2_AutoML_20190426_150852,12.112414831255405,3.4802894752096987,12.112414831255405,2.063085237962007,0.034178848255764546
4,GBM_grid_1_AutoML_20190426_160027_model_2,12.566565943168044,3.5449352523238056,12.566565943168044,1.7358246219054374,0.024581538590752818
5,GBM_1_AutoML_20190426_153113,12.684979119288466,3.561597832334311,12.684979119288466,2.1840113960406007,0.04040984207073031
6,GBM_1_AutoML_20190426_160027,14.92828732696669,3.8637141880536,14.92828732696669,2.387612171908974,0.04711324806765032
7,GBM_3_AutoML_20190426_150852,15.140321179237466,3.891056563356213,15.140321179237466,2.294084347061378,0.041256969981245686
8,GBM_2_AutoML_20190426_153113,18.23716742245617,4.270499668944628,18.23716742245617,2.7749361955024616,
9,GBM_3_AutoML_20190426_153113,23.449937611218033,4.842513563348897,23.449937611218033,2.8276510798204684,0.061825064944229235
10,GBM_4_AutoML_20190426_160027,24.02859501116089,4.90189708288137,24.02859501116089,2.8761463253088912,0.057134646242518586
11,GBM_4_AutoML_20190426_144511,25.472440782434553,5.0470229623446885,25.472440782434553,3.1471879879515496,0.06700149544169175
12,GBM_1_AutoML_20190426_144511,28.175282488099327,5.3080394203603385,28.175282488099327,3.2987908286501337,
13,GBM_5_AutoML_20190426_153113,28.67194415565996,5.354618955225475,28.67194415565996,2.4837275342093452,0.03733430135820073
14,GBM_5_AutoML_20190426_160027,32.531780408658015,5.70366377065286,32.531780408658015,2.8154887789361207,0.045105192238382864
15,GBM_3_AutoML_20190426_144511,32.82094017610167,5.7289562902942155,32.82094017610167,3.4340078829334044,
16,GBM_5_AutoML_20190426_144511,34.16162709465046,5.8447948719052985,34.16162709465046,3.0958084496752853,0.06381127092852687
17,GBM_3_AutoML_20190426_160027,34.27046500693318,5.854098137794853,34.27046500693318,3.5124000149681143,
18,GBM_5_AutoML_20190426_150852,37.545768711704,6.127460217064162,37.545768711704,3.1612455486696134,0.05501696961743858
19,GBM_4_AutoML_20190426_150852,44.68313611334022,6.684544570375773,44.68313611334022,3.9734808006186753,0.06843603796641788
20,GBM_grid_1_AutoML_20190426_160027_model_6,58.670652603084186,7.659677056056879,58.670652603084186,5.412499074795233,
21,GBM_2_AutoML_20190426_144511,60.992697557431384,7.8097821709335395,60.992697557431384,4.690645254478944,
22,GBM_4_AutoML_20190426_153113,68.80256887405628,8.294731392519969,68.80256887405628,4.885920316667728,
23,GBM_grid_1_AutoML_20190426_153113_model_1,124.4661680893774,11.156440655037672,124.4661680893774,7.428248229025334,
24,GBM_grid_1_AutoML_20190426_150852_model_3,184.71871207173092,13.591126225288725,184.71871207173092,8.478844401474108,
25,GBM_grid_1_AutoML_20190426_153113_model_4,442.641580303878,21.039048940098933,442.641580303878,10.951698561802127,
26,GBM_grid_1_AutoML_20190426_150852_model_5,524.2113359256824,22.895661945566946,524.2113359256824,14.730667391616144,
27,GBM_grid_1_AutoML_20190426_160027_model_3,556.5003090770082,23.590258775117498,556.5003090770082,15.1453996117849,
28,GBM_grid_1_AutoML_20190426_150852_model_6,1417.67086527144,37.65197027077654,1417.67086527144,29.047473133572144,0.801161823951807
29,GBM_grid_1_AutoML_20190426_160027_model_4,2608.2076663677303,51.07061450939992,2608.2076663677303,38.33358670377107,
30,GBM_grid_1_AutoML_20190426_160027_model_5,6803.470540408886,82.48315307024149,6803.470540408886,59.25001234767925,1.075241250981375
